___ annotation is used to specify URI of the resource | @path
Study the statements:1) URL rewriting may be used when a browser is disabled cookies. 2) In URL encoding the session id is included as part of the URL. Which is the correct option? | both 1 and 2 are true
Style sheets allow you to mix presentation markup with data | f
Style sheets contain one or more rules about the appearance of data | t
Styles can change without waiting for the page to be reloaded. | true
Stylesheet can do have ____ variables with the same name | several
Syntax for a typical template element is: | <xsl:template match = "myelement">
Syntax for an XML declaration is | <?xml version="1.0"?>
Syntax for declaring an external DTD to an XML document is: | <!doctype n1 system "show.dtd">
Syntax for element declaration is | <!element element-name (element-content type)>
Syntax for referencing a cascading style sheet in an XML document is: | <?xml-stylesheet type="text/css" href="url"?>
Tags can begin with | all of the above
templates are been ordered according to their ________ which can be specified with the priority attributte. | priority
Text style sheets use which of the following MIME types | text/css
The ____ instruction do enables the conditional processing. | xsl:if
The ____ method is called by the container before the servlet instance is killed | destroy()
The _____ annotation can be used to bind template parameters to a resource class field | @pathparam
The _____ method creates the new element node | createelement()
The ______ method can be used to remove the specified node | removechild()
The _______ method is used to remove the attribute node. | removeattributenode()
The _______ of an identifier for a variable or function is the portion of the program in which the identifier can be referenced | scope
The ________ attribute added to the ________ element uses your knowledge of XPath to find information in your XML document. | match & xsl:template
The ________ attribute is added to a TABLE element's opening tag to bind a data island to a table | datasrc
The ________ attribute of the ________ element specifies another element that is identified by its ________ attribute. | for, script, id.
The ________ element generates the markup for an element of the specified name in the output HTML. | xsl:element
The ________ element lets you decide when and where your template elements are used. | xsl:apply-templates
The ________ is the distance between the content inside an element and the edge of the element. | padding
The ________ method can be used to display the value of the specified attribute. | getattribute()
The ________ method returns a node list that contains all elements with the specified tag name in the same order as they appear in the source document. | getelementsbytagname()
The ________ multiple selection structure is used to handle multiple decisions making and can be used to replace multiple if and if/else statements. | switch
The ________ object contains information about the Web browser that is viewing the page. | b) navigator
The ________ of a variable is the period during which it exists in memory. | duration
The ________ parses and translates all inbound and outbound messages going to and from a business. | a. biztalk server.
The ________ property of the wave filter determines how many waves will be applied in the affected area. | freq
The ________ property of the wave filter determines the wave's amplitude. | strength
The ________ property of the wave filter shifts the effect in space. | phase
